INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,220) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (201,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,219) + Blob of color:(0, 0, 255), size: 7, location: (194,227) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,227) + Blob of color:(0, 0, 255), size: 5, location: (201,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,221) + Blob of color:(0, 0, 255), size: 7, location: (197,232) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (197,232) + Blob of color:(0, 0, 255), size: 5, location: (196,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,220) + Blob of color:(0, 0, 255), size: 7, location: (196,231) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (196,231) + Blob of color:(0, 0, 255), size: 5, location: (197,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,221) + Blob of color:(0, 0, 255), size: 7, location: (196,231) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (196,231) + Blob of color:(0, 0, 255), size: 5, location: (196,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,222) + Blob of color:(0, 0, 255), size: 7, location: (195,230) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (195,230) + Blob of color:(0, 0, 255), size: 5, location: (195,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (194,223) + Blob of color:(0, 0, 255), size: 7, location: (194,231) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,231) + Blob of color:(0, 0, 255), size: 5, location: (194,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,222) + Blob of color:(0, 0, 255), size: 7, location: (194,230) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,230) + Blob of color:(0, 0, 255), size: 5, location: (193,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,221) + Blob of color:(0, 0, 255), size: 7, location: (194,229) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,229) + Blob of color:(0, 0, 255), size: 5, location: (193,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,222) + Blob of color:(0, 0, 255), size: 7, location: (194,229) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,229) + Blob of color:(0, 0, 255), size: 5, location: (193,222) 
